GEO_ID|B19013_E001|B19013_M001
0500000US05115|51678|2387
0500000US05117|47045|6739
0500000US05119|58326|1739
0500000US05121|45993|4649
0500000US05123|39822|3288
0500000US05125|73236|3192
0500000US05127|45340|5707
0500000US05129|42063|5502
0500000US05131|54047|2341
0500000US05133|53567|2723
0500000US05135|43332|2537
0500000US05137|37664|8139
0500000US05139|49745|5298
0500000US05141|45768|3226
0500000US05143|61985|2353
0500000US05145|51144|3710
0500000US05147|49608|3585
0500000US05149|55879|6270
0500000US06001|122488|1231
0500000US06003|101125|17442
0500000US06005|74853|6048
0500000US06007|66085|2261
0500000US06009|77526|3875
0500000US06011|69619|5745
0500000US06013|120020|1496
0500000US06015|61149|4376
0500000US06017|99246|3330
0500000US06019|67756|967
0500000US06021|64033|3963
0500000US06023|57881|2131
0500000US06025|53847|2214
0500000US06027|63417|5453
0500000US06029|63883|1325
0500000US06031|68540|2253
0500000US06033|56259|2439
0500000US06035|59515|3551
0500000US06037|83411|439
0500000US06039|73543|2844
0500000US06041|142019|4098
0500000US06043|60021|5293
0500000US06045|61335|2198
0500000US06047|64772|2142
0500000US06049|54962|5389
0500000US06051|82038|15388
0500000US06053|91043|1900
0500000US06055|105809|2981
0500000US06057|79395|3823
0500000US06059|109361|882
0500000US06061|109375|1856
0500000US06063|67885|7772
0500000US06065|84505|1061
0500000US06067|84010|816
0500000US06069|104451|5461
0500000US06071|77423|806
0500000US06073|96974|993
0500000US06075|136689|1954
0500000US06077|82837|1448
0500000US06079|90158|2311
0500000US06081|149907|2621
0500000US06083|92332|1889
0500000US06085|153792|1545
0500000US06087|104409|3173
0500000US06089|68347|2480
0500000US06091|61108|9237
0500000US06093|53898|2640
0500000US06095|97037|1724
0500000US06097|99266|1988
0500000US06099|74872|1371
0500000US06101|72654|3425
0500000US06103|59029|4103
0500000US06105|47317|5890
0500000US06107|64474|1489
0500000US06109|70432|4691
0500000US06111|102141|1528
0500000US06113|85097|2333
0500000US06115|66693|2796
0500000US08001|86297|1295
0500000US08003|52271|4812
0500000US08005|92292|1197
0500000US08007|66813|9047
0500000US08009|42115|7290
0500000US08011|45776|5506
0500000US08013|99770|2277
0500000US08014|117541|3337
0500000US08015|65703|4773
0500000US08017|65577|16886
0500000US08019|87169|19629
0500000US08021|44093|2222
0500000US08023|34578|3894
0500000US08025|40685|7356
0500000US08027|66250|8149
0500000US08029|56349|3710
0500000US08031|85853|1295
0500000US08033|64708|15872
0500000US08035|139010|1825
0500000US08037|98887|4834
0500000US08039|124360|5503
0500000US08041|82748|1229
0500000US08043|56165|3295
0500000US08045|82772|3541
0500000US08047|95902|18562
0500000US08049|79367|13357
0500000US08051|76538|9424
0500000US08053|58712|8376
0500000US08055|49631|5676
0500000US08057|38686|11308
0500000US08059|103167|1358
0500000US08061|45250|12860
0500000US08063|58992|6334
0500000US08065|78942|10647
0500000US08067|81936|2984
0500000US08069|87199|2139
0500000US08071|48965|3893
0500000US08073|59167|10020
0500000US08075|54864|4203
0500000US08077|68077|2075
0500000US08079|58929|9399
0500000US08081|63983|5415
0500000US08083|61377|5216
0500000US08085|62817|4545
0500000US08087|70471|3883
0500000US08089|47500|5935
0500000US08091|78750|14026
0500000US08093|85019|6450
0500000US08095|58474|6683
0500000US08097|96123|6260
0500000US08099|49422|4375
0500000US08101|59436|1906
0500000US08103|69882|7536
0500000US08105|57591|5289
0500000US08107|95144|5677
0500000US08109|51946|5979
0500000US08111|67344|14111
0500000US08113|72829|6124
0500000US08115|45855|8133
0500000US08117|100611|8401
0500000US08119|69655|8094
0500000US08121|59087|5105
0500000US08123|89182|1677
0500000US08125|60118|7842
0500000US09110|88190|1229
0500000US09120|83147|2305
0500000US09130|99742|2524
0500000US09140|82939|2047
0500000US09150|83119|2527
0500000US09160|87971|2758
0500000US09170|83617|1663
0500000US09180|80330|1765
0500000US09190|118930|1895
0500000US10001|69278|1968
0500000US10003|85309|2377
0500000US10005|75406|1681
0500000US11001|101722|1569
0500000US12001|57566|1488
0500000US12003|67872|8294
0500000US12005|65999|2086
0500000US12007|54759|7455
0500000US12009|71308|1222
0500000US12011|70331|780
0500000US12013|41526|6138
0500000US12015|62164|1688
0500000US12017|52569|2000
0500000US12019|82242|2922
0500000US12021|82011|1934
0500000US12023|53501|3291
0500000US12027|45000|2941
0500000US12029|45057|6354
0500000US12031|65579|1206
0500000US12033|61642|1340
0500000US12035|69251|2857
0500000US12037|58107|4380
0500000US12039|45721|2564
0500000US12041|56823|3505
0500000US12043|37221|7004
0500000US12045|56250|4603
0500000US12047|47668|5797
0500000US12049|44665|7499
0500000US12051|49259|4850
0500000US12053|59202|1456
0500000US12055|53679|2624
0500000US12057|70612|909
0500000US12059|46063|3868
